index,lambda,price,conv,secp,segment
1,2.162108223517685,2100292.332875716,0.030890725266658592,-2.1439026028808297e-7,1
2,5.8103191199385975,555600.5758558663,1600.2050174251317,-1.380009587560762e-7,1
3,2.9310941516101967,1389307.654575547,206.59217607247064,-2.064902456540594e-7,1
4,4.307191339442334,823834.5781101413,801.8040124162185,-1.7550075615631429e-7,1
5,3.338881619793775,1162916.587699441,358.67053008843016,-1.9871106893551154e-7,1
6,3.8994718759709612,941833.1433641018,603.9911234032456,-1.8575434229951242e-7,1
7,3.5277574659098807,1078929.6994663142,437.19197315681106,-1.9456782840531205e-7,1
8,3.7553735629756027,991086.3589753264,537.5763685553485,-1.8925437352914186e-7,1
9,3.608483518734389,1046240.9828258152,472.1160707578543,-1.9271844771240193e-7,1
10,3.700266121654504,1011157.6310529256,512.7402514563593,-1.9056763620639707e-7,1
11,3.641712315672047,1033292.4430292196,486.71380314074963,-1.9194535352920916e-7,1
12,3.67858460545297,1019254.4374073426,503.05870552657206,-1.9107999350831028e-7,1
13,3.655172211508979,1028128.2955025947,492.66268575595615,-1.9163035395772555e-7,1
14,3.6699606595391643,1022507.1898327586,499.22222864745197,-1.9128307439824086e-7,1
15,3.6605885043249,1026063.1814292176,495.06228823736245,-1.9150330522825938e-7,1
16,3.6665156618510646,1023811.7384155598,497.69198659306244,-1.9136408356669024e-7,1
17,3.662762217299382,1025236.4687088934,496.0262420132155,-1.9145227030531018e-7,1
18,3.665137136760152,1024334.5880923303,497.08002684893614,-1.913964810305847e-7,1
19,3.6636336532341343,1024905.374843523,496.4128370532648,-1.9143180306732789e-7,1
20,3.664585139127856,1024544.0842317708,496.835041591721,-1.9140945084067505e-7,1
